UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,client_id
8840,M23699,M,297.4,308.9,1376,39.0,181,0,0,0,0,0,0,client_5
7263,M22122,M,300.4,310.6,1545,35.6,16,0,0,0,0,0,0,client_5
6376,H35789,H,300.0,309.6,1629,32.3,89,0,0,0,0,0,0,client_5
3715,M18574,M,302.3,311.4,1855,23.9,43,0,0,0,0,0,0,client_5
5861,L53040,L,301.3,310.9,1566,33.1,82,0,0,0,0,0,0,client_5
9478,M24337,M,298.8,309.6,1693,33.3,170,0,0,0,0,0,0,client_5
1172,H30585,H,297.0,308.1,1517,41.4,222,0,0,0,0,0,0,client_5
9856,L57035,L,298.7,309.6,1516,38.5,61,0,0,0,0,0,0,client_5
1559,M16418,M,298.2,308.3,1476,43.5,129,0,0,0,0,0,0,client_5
3341,M18200,M,301.5,310.8,1452,44.1,157,0,0,0,0,0,0,client_5
3058,L50237,L,300.1,309.1,1400,46.7,77,0,0,0,0,0,0,client_5
1890,H31303,H,297.7,307.4,1432,40.2,132,0,0,0,0,0,0,client_5
7526,H36939,H,300.1,311.5,1383,49.1,33,0,0,0,0,0,0,client_5
2249,M17108,M,299.3,308.5,1304,60.6,8,0,0,0,0,0,0,client_5
8892,M23751,M,297.7,308.9,1681,28.3,116,0,0,0,0,0,0,client_5
2291,M17150,M,299.5,308.7,1321,51.9,114,0,0,0,0,0,0,client_5
5008,L52187,L,303.8,312.9,1442,48.3,52,0,0,0,0,0,0,client_5
357,M15216,M,297.6,308.4,1398,48.9,63,0,0,0,0,0,0,client_5
4209,M19068,M,302.3,310.9,1627,32.3,0,0,0,0,0,0,0,client_5
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,client_5
2142,M17001,M,299.3,308.9,1577,34.9,160,0,0,0,0,0,0,client_5
5726,M20585,M,302.3,311.8,1557,34.1,185,0,0,0,0,0,0,client_5
4902,M19761,M,303.6,312.3,1630,32.4,223,0,0,0,0,0,0,client_5
300,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,client_5
9411,M24270,M,298.0,308.5,1666,31.0,198,0,0,0,0,0,0,client_5
1571,L48750,L,298.2,308.4,1452,43.5,158,0,0,0,0,0,0,client_5
1216,L48395,L,296.8,307.9,1709,28.4,118,0,0,0,0,0,0,client_5
1499,L48678,L,298.0,308.8,1790,27.2,193,0,0,0,0,0,0,client_5
995,M15854,M,296.2,307.2,1168,63.4,172,0,0,0,0,0,0,client_5
7933,L55112,L,300.7,311.8,1478,41.9,207,0,0,0,0,0,0,client_5
9239,M24098,M,298.2,308.8,1456,41.2,150,0,0,0,0,0,0,client_5
5591,M20450,M,302.5,311.9,1340,59.4,60,0,0,0,0,0,0,client_5
4950,M19809,M,303.8,312.7,1555,33.4,128,0,0,0,0,0,0,client_5
2636,H32049,H,299.9,309.6,1462,51.0,119,0,0,0,0,0,0,client_5
8515,L55694,L,298.2,309.4,1447,47.1,185,0,0,0,0,0,0,client_5
5579,L52758,L,302.5,312.2,1574,38.7,30,0,0,0,0,0,0,client_5
1911,H31324,H,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,client_5
4670,M19529,M,303.3,311.5,1373,47.3,60,1,0,1,0,0,0,client_5
4510,L51689,L,302.4,310.1,1429,43.7,104,0,0,0,0,0,0,client_5
3192,M18051,M,300.1,309.2,1732,33.7,218,0,0,0,0,0,0,client_5
483,L47662,L,297.3,309.0,1548,37.4,171,0,0,0,0,0,0,client_5
804,H30217,H,296.9,307.8,1549,37.8,104,0,0,0,0,0,0,client_5
3637,L50816,L,302.2,311.4,1449,46.5,60,0,0,0,0,0,0,client_5
9099,L56278,L,297.3,308.1,1468,49.8,0,0,0,0,0,0,0,client_5
849,L48028,L,296.3,307.4,1465,47.1,215,0,0,0,0,0,0,client_5
7181,M22040,M,300.2,310.2,1628,30.3,27,0,0,0,0,0,0,client_5
7687,M22546,M,300.7,311.7,1504,36.9,229,0,0,0,0,0,0,client_5
4966,M19825,M,303.8,312.7,1364,49.3,167,0,0,0,0,0,0,client_5
5370,H34783,H,303.0,312.5,1507,37.9,163,0,0,0,0,0,0,client_5
6237,M21096,M,301.3,310.9,1512,36.9,159,0,0,0,0,0,0,client_5
5356,H34769,H,303.3,312.5,1328,49.8,120,0,0,0,0,0,0,client_5
4423,M19282,M,302.6,310.2,2157,17.2,94,0,0,0,0,0,0,client_5
1785,L48964,L,298.3,308.0,2886,3.8,57,1,0,0,1,0,0,client_5
756,H30169,H,296.8,308.1,1492,43.7,222,0,0,0,0,0,0,client_5
9094,M23953,M,297.3,308.1,1709,30.6,196,0,0,0,0,0,0,client_5
8093,M22952,M,300.2,311.6,1513,40.8,157,0,0,0,0,0,0,client_5
5336,M20195,M,303.3,312.4,1505,38.9,68,0,0,0,0,0,0,client_5
8213,H37626,H,299.2,310.5,1329,48.9,30,0,0,0,0,0,0,client_5
476,L47655,L,297.4,309.1,1380,41.1,152,0,0,0,0,0,0,client_5
4434,H33847,H,302.4,310.2,1435,44.9,127,0,0,0,0,0,0,client_5
5322,M20181,M,303.4,312.7,1576,49.9,28,0,0,0,0,0,0,client_5
8129,L55308,L,300.1,311.4,1629,31.3,41,0,0,0,0,0,0,client_5
7208,M22067,M,299.7,309.6,1540,34.4,91,0,0,0,0,0,0,client_5
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,client_5
1292,M16151,M,298.6,309.7,1675,28.4,115,0,0,0,0,0,0,client_5
1899,L49078,L,297.8,307.5,1372,54.1,157,0,0,0,0,0,0,client_5
9440,M24299,M,298.1,308.8,1433,48.2,62,0,0,0,0,0,0,client_5
1511,M16370,M,298.1,308.7,1547,38.9,0,0,0,0,0,0,0,client_5
1883,M16742,M,298.0,307.6,1581,43.4,113,0,0,0,0,0,0,client_5
8998,M23857,M,297.1,307.9,1609,38.9,166,0,0,0,0,0,0,client_5
8610,L55789,L,297.4,308.3,1475,40.5,222,1,1,0,0,0,0,client_5
6408,M21267,M,300.3,309.9,1611,29.0,177,0,0,0,0,0,0,client_5
5121,M19980,M,304.2,313.6,1424,43.7,151,0,0,0,0,0,0,client_5
4149,L51328,L,301.9,310.3,1972,21.3,67,0,0,0,0,0,0,client_5
1361,H30774,H,298.8,310.2,1707,27.6,56,0,0,0,0,0,0,client_5
8004,M22863,M,300.8,312.0,1274,67.3,159,0,0,0,0,0,0,client_5
5194,H34607,H,304.0,313.1,1408,39.8,132,0,0,0,0,0,0,client_5
3925,M18784,M,302.5,311.4,1636,35.0,157,0,0,0,0,0,0,client_5
8625,H38038,H,297.5,308.4,1490,39.7,34,0,0,0,0,0,0,client_5
3706,M18565,M,302.0,311.3,1725,27.7,23,0,0,0,0,0,0,client_5
772,H30185,H,296.8,308.0,1311,58.6,19,0,0,0,0,0,0,client_5
8168,H37581,H,299.7,311.1,1353,47.1,143,0,0,0,0,0,0,client_5
3736,M18595,M,302.2,311.1,1434,58.6,102,0,0,0,0,0,0,client_5
4601,L51780,L,303.0,311.0,1359,44.2,115,1,0,1,0,0,0,client_5
