client_id,model,train_sample_count,train_failure_count,train_failure_rate,test_sample_count,test_failure_count,accuracy,precision,recall,f1
client_1,LogisticRegression,1742,40,0.022962,2000,68,0.7915,0.121475,0.823529,0.21172
client_1,RandomForest,1742,40,0.022962,2000,68,0.9675,1.0,0.044118,0.084507
client_1,MLP,1742,40,0.022962,2000,68,0.972,0.588235,0.588235,0.588235
client_2,LogisticRegression,1653,49,0.029643,2000,68,0.821,0.139303,0.823529,0.238298
client_2,RandomForest,1653,49,0.029643,2000,68,0.972,0.928571,0.191176,0.317073
client_2,MLP,1653,49,0.029643,2000,68,0.9645,0.476923,0.455882,0.466165
client_3,LogisticRegression,1601,56,0.034978,2000,68,0.8325,0.134247,0.720588,0.226328
client_3,RandomForest,1601,56,0.034978,2000,68,0.971,0.916667,0.161765,0.275
client_3,MLP,1601,56,0.034978,2000,68,0.973,0.612903,0.558824,0.584615
client_4,LogisticRegression,1552,64,0.041237,2000,68,0.8315,0.146982,0.823529,0.249443
client_4,RandomForest,1552,64,0.041237,2000,68,0.9695,0.652174,0.220588,0.32967
client_4,MLP,1552,64,0.041237,2000,68,0.9645,0.483516,0.647059,0.553459
client_5,LogisticRegression,1452,62,0.0427,2000,68,0.7555,0.106542,0.838235,0.189055
client_5,RandomForest,1452,62,0.0427,2000,68,0.9705,0.736842,0.205882,0.321839
client_5,MLP,1452,62,0.0427,2000,68,0.9595,0.435644,0.647059,0.52071
